Stock,Gain,Loss,Percent,Entry
ATVI,0.00,0.00,0.00,0.00
ADBE,0.00,0.00,0.00,0.00
AMD,0.00,-0.77,0.00,1.00
ALXN,0.00,0.00,0.00,0.00
ALGN,0.00,0.00,0.00,0.00
GOOG,0.00,-6.51,0.00,1.00
GOOGL,0.00,0.00,0.00,0.00
AMZN,24.09,0.00,100.00,2.00
AMGN,2.12,0.00,100.00,1.00
ADI,0.00,0.00,0.00,0.00
ANSS,0.00,0.00,0.00,0.00
AAPL,0.00,0.00,0.00,0.00
AMAT,0.00,-0.04,0.00,1.00
ASML,0.00,0.00,0.00,0.00
ADSK,0.00,-0.11,0.00,1.00
ADP,0.00,-0.83,0.00,1.00
BIDU,0.00,0.00,0.00,0.00
BIIB,0.00,-1.14,0.00,1.00
BMRN,0.01,0.00,100.00,1.00
BKNG,0.00,0.00,0.00,0.00
AVGO,0.00,0.00,0.00,0.00
CDNS,1.62,0.00,100.00,2.00
CDW,0.12,0.00,100.00,1.00
CERN,0.54,0.00,100.00,1.00
CHTR,1.85,0.00,100.00,1.00
CHKP,0.00,0.00,0.00,0.00
CTAS,0.00,0.00,0.00,0.00
CSCO,0.00,0.00,0.00,0.00
CTXS,0.86,0.00,100.00,2.00
CTSH,0.00,-0.87,0.00,1.00
CMCSA,0.00,-0.13,0.00,2.00
CPRT,0.00,-0.94,0.00,1.00
CSGP,2.53,0.00,100.00,1.00
COST,0.00,0.00,0.00,0.00
CSX,0.00,0.00,0.00,0.00
DXCM,5.91,0.00,100.00,1.00
DLTR,0.00,0.00,0.00,0.00
EBAY,0.00,0.00,0.00,0.00
EA,0.00,0.00,0.00,0.00
EXC,0.18,-1.20,50.00,2.00
EXPE,0.00,0.00,0.00,0.00
FB,0.00,0.00,0.00,0.00
FAST,0.56,0.00,100.00,1.00
FISV,0.00,-0.16,0.00,1.00
FOX,0.00,0.00,0.00,0.00
FOXA,0.00,0.00,0.00,0.00
GILD,0.00,0.00,0.00,0.00
IDXX,0.00,0.00,0.00,0.00
ILMN,0.00,0.00,0.00,0.00
INCY,0.00,0.00,0.00,0.00
INTC,0.00,0.00,0.00,0.00
INTU,2.23,0.00,100.00,1.00
ISRG,4.79,-2.96,50.00,2.00
JD,0.00,-3.09,0.00,1.00
KLAC,0.00,0.00,0.00,0.00
LRCX,1.94,0.00,100.00,1.00
LBTYA,0.00,-0.06,0.00,1.00
LBTYK,0.00,0.00,0.00,0.00
LULU,0.00,0.00,0.00,0.00
MAR,0.00,-0.86,0.00,1.00
MXIM,0.00,0.00,0.00,0.00
MELI,0.00,0.00,0.00,0.00
MCHP,0.00,0.00,0.00,0.00
MU,0.00,0.00,0.00,0.00
MSFT,0.00,-0.02,0.00,1.00
MDLZ,0.00,0.00,0.00,0.00
MNST,0.00,-0.02,0.00,1.00
NTAP,0.72,-0.40,50.00,2.00
NTES,0.00,0.00,0.00,0.00
NFLX,0.00,0.00,0.00,0.00
NVDA,1.28,0.00,100.00,1.00
NXPI,0.00,-0.72,0.00,1.00
ORLY,0.00,-3.77,0.00,1.00
PCAR,0.00,0.00,0.00,0.00
PAYX,0.00,0.00,0.00,0.00
PYPL,0.00,0.00,0.00,0.00
PEP,0.00,0.00,0.00,0.00
QCOM,0.00,-0.67,0.00,1.00
REGN,0.00,0.00,0.00,0.00
ROST,1.16,0.00,100.00,2.00
SGEN,0.35,0.00,100.00,1.00
SIRI,0.00,0.00,0.00,0.00
SWKS,1.20,0.00,100.00,1.00
SPLK,0.00,0.00,0.00,0.00
SBUX,0.69,0.00,100.00,1.00
SNPS,0.00,0.00,0.00,0.00
TMUS,5.20,-0.89,50.00,2.00
TTWO,0.00,0.00,0.00,0.00
TSLA,0.00,0.00,0.00,0.00
TXN,0.00,0.00,0.00,0.00
KHC,0.00,0.00,0.00,0.00
TCOM,0.00,-0.19,0.00,1.00
ULTA,0.00,0.00,0.00,0.00
UAL,0.00,0.00,0.00,0.00
VRSN,0.00,0.00,0.00,0.00
VRSK,0.00,0.00,0.00,0.00
VRTX,1.26,0.00,100.00,2.00
WBA,0.00,0.00,0.00,0.00
WDC,0.00,0.00,0.00,0.00
WDAY,3.60,0.00,100.00,2.00
XEL,0.00,0.00,0.00,0.00
XLNX,1.23,0.00,100.00,3.00
ZM,3.21,0.00,100.00,1.00
